fips,median_income,county,state
17133,81268.0,Monroe,Illinois
17135,50304.0,Montgomery,Illinois
17137,48508.0,Morgan,Illinois
17139,59623.0,Moultrie,Illinois
17141,59707.0,Ogle,Illinois
17143,54770.0,Peoria,Illinois
17145,48298.0,Perry,Illinois
17147,69271.0,Piatt,Illinois
17149,42664.0,Pike,Illinois
17151,40671.0,Pope,Illinois
17153,33799.0,Pulaski,Illinois
17155,65034.0,Putnam,Illinois
17157,52107.0,Randolph,Illinois
17159,48724.0,Richland,Illinois
17161,52630.0,Rock Island,Illinois
17163,53681.0,St. Clair,Illinois
17165,41167.0,Saline,Illinois
17167,60466.0,Sangamon,Illinois
17169,46151.0,Schuyler,Illinois
17171,53973.0,Scott,Illinois
17173,51157.0,Shelby,Illinois
17175,52260.0,Stark,Illinois
17177,48016.0,Stephenson,Illinois
17179,62342.0,Tazewell,Illinois
17181,49182.0,Union,Illinois
17183,45384.0,Vermilion,Illinois
17185,51432.0,Wabash,Illinois
17187,49607.0,Warren,Illinois
17189,59469.0,Washington,Illinois
17191,49764.0,Wayne,Illinois
17193,47773.0,White,Illinois
17195,53828.0,Whiteside,Illinois
17197,83504.0,Will,Illinois
17199,49053.0,Williamson,Illinois
17201,52743.0,Winnebago,Illinois
17203,71867.0,Woodford,Illinois
18001,51713.0,Adams,Indiana
18003,53402.0,Allen,Indiana
18005,59045.0,Bartholomew,Indiana
18007,46188.0,Benton,Indiana
18009,42217.0,Blackford,Indiana
18011,80567.0,Boone,Indiana
18013,61455.0,Brown,Indiana
18015,56429.0,Carroll,Indiana
18017,47545.0,Cass,Indiana
18019,54240.0,Clark,Indiana
18021,53021.0,Clay,Indiana
18023,52488.0,Clinton,Indiana
18025,43875.0,Crawford,Indiana
18027,51032.0,Daviess,Indiana
18029,65096.0,Dearborn,Indiana
18031,54622.0,Decatur,Indiana
18033,53808.0,DeKalb,Indiana
18035,42705.0,Delaware,Indiana
18037,58994.0,Dubois,Indiana
18039,55399.0,Elkhart,Indiana
18041,43317.0,Fayette,Indiana
18043,61754.0,Floyd,Indiana
18045,49887.0,Fountain,Indiana
18047,58382.0,Franklin,Indiana
18049,49333.0,Fulton,Indiana
18051,52620.0,Gibson,Indiana
18053,42593.0,Grant,Indiana
