state_abbr,county,fips,votes_dem,votes_gop,total_votes
OK,Cotton,40033,424,2054,2602
OK,Craig,40035,1249,4279,5778
OK,Creek,40037,5834,21539,28786
OK,Custer,40039,2102,7818,10531
OK,Delaware,40041,3306,11796,15680
OK,Dewey,40043,222,1964,2246
OK,Ellis,40045,155,1610,1826
OK,Garfield,40047,4391,15998,21692
OK,Garvin,40049,1852,8243,10531
OK,Grady,40051,3878,17293,22257
OK,Grant,40053,287,1827,2200
OK,Greer,40055,323,1482,1896
OK,Harmon,40057,224,714,975
OK,Harper,40059,131,1307,1485
OK,Haskell,40061,882,3697,4734
OK,Hughes,40063,961,3387,4525
OK,Jackson,40065,1473,5969,7806
OK,Jefferson,40067,365,1905,2345
OK,Johnston,40069,782,3081,4001
OK,Kay,40071,3734,12168,16795
OK,Kingfisher,40073,783,5151,6123
OK,Kiowa,40075,766,2593,3489
OK,Latimer,40077,797,3094,4050
OK,Le Flore,40079,3245,13346,17199
OK,Lincoln,40081,2423,10838,14001
OK,Logan,40083,4239,13613,18948
OK,Love,40085,735,2920,3787
OK,McClain,40087,2893,13151,16839
OK,McCurtain,40089,1799,8642,10709
OK,McIntosh,40091,2122,5501,7958
OK,Major,40093,310,2940,3399
OK,Marshall,40095,1095,4202,5487
OK,Mayes,40097,3423,11550,15712
OK,Murray,40099,1086,4173,5525
OK,Muskogee,40101,7969,15029,24193
OK,Noble,40103,901,3707,4870
OK,Nowata,40105,742,3321,4237
OK,Okfuskee,40107,943,2791,3933
OK,Oklahoma,40109,112661,141429,273609
OK,Okmulgee,40111,4379,8926,13924
OK,Osage,40113,5593,12559,18942
OK,Ottawa,40115,2584,7627,10686
OK,Pawnee,40117,1341,4716,6346
OK,Payne,40119,8785,16644,27749
OK,Pittsburg,40121,3704,12740,17250
OK,Pontotoc,40123,3633,10420,14814
OK,Pottawatomie,40125,6005,17826,25417
OK,Pushmataha,40127,748,3581,4483
OK,Roger Mills,40129,151,1546,1758
OK,Rogers,40131,7895,30893,40834
OK,Seminole,40133,2067,5612,8032
OK,Sequoyah,40135,3061,10888,14437
OK,Stephens,40137,3084,14166,17886
OK,Texas,40139,855,4615,5771
OK,Tillman,40141,657,1944,2706
OK,Tulsa,40143,87663,143985,246557
OK,Wagoner,40145,6711,22967,31246
OK,Washington,40147,5047,15810,22208
OK,Washita,40149,588,3851,4628
OK,Woods,40151,521,2945,3665
OK,Woodward,40153,871,6329,7573
OR,Baker,41001,1781,6160,8479
OR,Benton,41003,28431,13030,45577
OR,Clackamas,41005,90187,79062,182136
OR,Clatsop,41007,8899,7794,18158
OR,Columbia,41009,9959,12967,25077
OR,Coos,41011,10355,17699,30181
OR,Crook,41013,2591,8388,11638
OR,Curry,41015,4253,7157,12163
OR,Deschutes,41017,40222,43667,90584
OR,Douglas,41019,13891,34112,51350
OR,Gilliam,41021,221,632,937
OR,Grant,41023,732,3187,4171
OR,Harney,41025,682,2904,3850
OR,Hood River,41027,6359,3223,10383
OR,Jackson,41029,43550,53083,103789
OR,Jefferson,41031,2892,5337,8874
OR,Josephine,41033,13223,26582,42613
OR,Klamath,41035,7080,20170,29240
OR,Lake,41037,628,3001,3814
OR,Lane,41039,100497,66218,181072
OR,Lincoln,41041,12300,9901,24035
OR,Linn,41043,17456,32683,54724
OR,Malheur,41045,2213,7141,9950
OR,Marion,41047,48803,54336,110804
OR,Morrow,41049,1004,2698,3989
OR,Multnomah,41051,271754,63055,357762
OR,Polk,41053,15741,18333,37030
OR,Sherman,41055,202,726,983
OR,Tillamook,41057,5701,6486,13261
OR,Umatilla,41059,7466,16775,26116
OR,Union,41061,3221,8378,12465
OR,Wallowa,41063,1097,2825,4177
OR,Wasco,41065,4634,5721,11251
OR,Washington,41067,137818,75903,232034
OR,Wheeler,41069,153,583,792
OR,Yamhill,41071,18635,22589,45116
PA,Adams,42001,14077,31249,47138
PA,Allegheny,42003,363017,257488,643173
PA,Armstrong,42005,6849,22676,30446
PA,Beaver,42007,30225,46081,79036
PA,Bedford,42009,3613,19455,23504
PA,Berks,42011,75169,93094,175934
PA,Blair,42013,13093,37224,52029
PA,Bradford,42015,6263,17957,25399
PA,Bucks,42017,165861,163873,342572
PA,Butler,42019,26834,61388,92027
PA,Cambria,42021,17798,40510,60167
PA,Cameron,42023,469,1495,2024
PA,Carbon,42025,8917,18714,28721
PA,Centre,42027,36555,35099,75394
PA,Chester,42029,140188,115582,266637
PA,Clarion,42031,4256,12545,17481
PA,Clearfield,42033,7700,23909,32692
PA,Clinton,42035,4533,9701,14839
PA,Columbia,42037,8502,17387,27127
PA,Crawford,42039,10215,23912,35563
PA,Cumberland,42041,44282,65649,115068
PA,Dauphin,42043,64287,60620,130160
PA,Delaware,42045,169169,106559,284832
PA,Elk,42047,3637,9704,13854
PA,Erie,42049,54820,57168,117240
PA,Fayette,42051,17826,34388,53426
PA,Forest,42053,626,1680,2398
PA,Franklin,42055,17322,49554,69345
PA,Fulton,42057,904,5676,6743
PA,Greene,42059,4157,10394,14955
PA,Huntingdon,42061,4487,14369,19496
PA,Indiana,42063,11468,24920,37728
PA,Jefferson,42065,3437,14533,18551
PA,Juniata,42067,1810,8234,10402
